CMDLINE C:\Users\jonah\PycharmProjects\WarrenNolanScraper_cloud\.venv\Scripts\python.exe main.py
MEM 48.089844 1737411867.3862
MEM 48.089844 1737411867.4868
MEM 48.089844 1737411867.5872
MEM 48.089844 1737411867.6879
MEM 48.089844 1737411867.7886
MEM 48.089844 1737411867.8950
MEM 48.089844 1737411867.9957
MEM 48.089844 1737411868.0962
MEM 48.089844 1737411868.1968
MEM 48.089844 1737411868.2976
MEM 48.089844 1737411868.3980
MEM 48.089844 1737411868.4987
MEM 48.089844 1737411868.5996
MEM 48.089844 1737411868.6999
MEM 48.089844 1737411868.8002
MEM 48.089844 1737411868.9011
MEM 48.089844 1737411869.0018
MEM 48.089844 1737411869.1022
MEM 48.089844 1737411869.2054
MEM 48.089844 1737411869.3059
MEM 48.089844 1737411869.4068
MEM 48.089844 1737411869.5075
MEM 48.089844 1737411869.6083
MEM 48.089844 1737411869.7087
MEM 48.089844 1737411869.8094
MEM 48.089844 1737411869.9100
MEM 48.089844 1737411870.0105
MEM 48.089844 1737411870.1112
MEM 48.089844 1737411870.2116
MEM 48.089844 1737411870.3121
MEM 48.089844 1737411870.4126
MEM 48.089844 1737411870.5130
MEM 48.089844 1737411870.6135
MEM 48.089844 1737411870.7143
MEM 48.089844 1737411870.8148
MEM 48.089844 1737411870.9154
MEM 48.089844 1737411871.0158
MEM 48.089844 1737411871.1165
MEM 48.089844 1737411871.2181
MEM 48.089844 1737411871.3186
MEM 48.089844 1737411871.4191
MEM 48.089844 1737411871.5194
MEM 48.089844 1737411871.6199
MEM 48.089844 1737411871.7230
MEM 48.089844 1737411871.8234
MEM 48.089844 1737411871.9251
MEM 48.089844 1737411872.0255
MEM 48.089844 1737411872.1262
MEM 48.089844 1737411872.2267
MEM 48.089844 1737411872.3272
MEM 48.089844 1737411872.4280
MEM 48.089844 1737411872.5283
MEM 48.089844 1737411872.6290
MEM 48.089844 1737411872.7309
MEM 48.089844 1737411872.8321
MEM 48.089844 1737411872.9328
MEM 48.089844 1737411873.0334
MEM 48.089844 1737411873.1339
MEM 48.089844 1737411873.2343
MEM 48.089844 1737411873.3353
MEM 48.089844 1737411873.4357
MEM 48.089844 1737411873.5365
MEM 48.089844 1737411873.6370
MEM 48.089844 1737411873.7376
MEM 48.089844 1737411873.8382
MEM 48.089844 1737411873.9386
MEM 48.089844 1737411874.0392
MEM 48.089844 1737411874.1397
MEM 48.089844 1737411874.2425
MEM 48.089844 1737411874.3429
MEM 48.089844 1737411874.4433
MEM 48.089844 1737411874.5438
MEM 48.089844 1737411874.6442
MEM 48.089844 1737411874.7446
MEM 48.089844 1737411874.8451
MEM 48.089844 1737411874.9458
MEM 48.089844 1737411875.0486
MEM 48.089844 1737411875.1493
MEM 48.089844 1737411875.2497
MEM 48.089844 1737411875.3503
MEM 48.089844 1737411875.4510
MEM 48.089844 1737411875.5526
